팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과
맨체스터 유나이티드,맨체스터 유나이티드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 가속력 +3 / 중거리 슛 +3 / 
메디폴 바사크세히르 FK,메디폴 바사크세히르 FK 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 태클 +3 / 몸싸움 +3 / 
몽펠리에 HSC,몽펠리에 HSC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 크로스 +3 / 긴 패스 +3 / 
미들즈브러,미들즈브러 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 스태미너 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 스태미너 +3 / 
바이에른 뮌헨,바이에른 뮌헨 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 슛 파워 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 슛 파워 +3 / 
바이엘 04 레버쿠젠,바이엘 04 레버쿠젠 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 속력 +2 / 가속력 +1 / ,전체 능력치 +4 / 속력 +3 / 가속력 +3 / 
발렌시아 CF,발렌시아 CF 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 중거리 슛 +3 / 
번리,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 적극성 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 적극성 +3 / 
베네벤토,베네벤토 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 밸런스 +1 / ,전체 능력치 +4 / 스태미너 +3 / 밸런스 +3 / 
베르가모 칼초,베르가모 칼초 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 시야 +2 / 밸런스 +1 / ,전체 능력치 +4 / 시야 +3 / 밸런스 +3 / 
베르더 브레멘,베르더 브레멘 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 점프 +2 / 시야 +1 / ,전체 능력치 +4 / 점프 +3 / 시야 +3 / 
보루시아 도르트문트,보루시아 도르트문트 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 볼 컨트롤 +1 / ,전체 능력치 +4 / 드리블 +3 / 볼 컨트롤 +3 / 
보루시아 묀헨글라트바흐,보루시아 묀헨글라트바흐 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 가로채기 +3 / 골 결정력 +3 / 
볼로냐,볼로냐 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 크로스 +3 / 긴 패스 +3 / 
부산 아이파크,부산 아이파크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 슛 파워 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 슛 파워 +3 / 
부천 FC 1995,부천 FC 1995 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 태클 +1 / ,전체 능력치 +4 / 가로채기 +3 / 태클 +3 / 
브라이턴 호브 앨비언,브라이턴 호브 앨비언 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 골 결정력 +3 / 
블랙번 로버스,블랙번 로버스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 드리블 +1 / ,전체 능력치 +4 / 가속력 +3 / 드리블 +3 / 
비야레알 CF,비야레알 CF 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 시야 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 시야 +3 / 
사수올로,사수올로 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 드리블 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 드리블 +3 / 
사우샘프턴,사우샘프턴 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 헤더 +1 / ,전체 능력치 +4 / 스태미너 +3 / 헤더 +3 / 
산둥 루넝 타이산,산둥 루넝 타이산 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 가로채기 +1 / ,전체 능력치 +4 / 태클 +3 / 가로채기 +3 / 
삼프도리아,삼프도리아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 헤더 +1 / ,전체 능력치 +4 / 크로스 +3 / 헤더 +3 / 
상하이 SIPG FC,상하이 SIPG FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 드리블 +1 / ,전체 능력치 +4 / 가속력 +3 / 드리블 +3 / 
상하이 그린랜드 선화,상하이 그린랜드 선화 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 크로스 +3 / 긴 패스 +3 / 
샤흐타르 도네츠크,샤흐타르 도네츠크 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 드리블 +1 / ,전체 능력치 +4 / 가속력 +3 / 드리블 +3 / 
서울 이랜드,서울 이랜드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 몸싸움 +2 / 태클 +1 / ,전체 능력치 +4 / 몸싸움 +3 / 태클 +3 / 
성남 FC,성남 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 중거리 슛 +2 / 태클 +1 / ,전체 능력치 +4 / 중거리 슛 +3 / 태클 +3 / 
세비야 FC,세비야 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 가속력 +1 / ,전체 능력치 +4 / 크로스 +3 / 가속력 +3 / 
셀틱,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 중거리 슛 +3 / 
셰필드 유나이티드,셰필드 유나이티드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 스태미너 +1 / ,전체 능력치 +4 / 가로채기 +3 / 스태미너 +3 / 
수원 FC,수원 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 프리킥 +2 / 헤더 +1 / ,전체 능력치 +4 / 프리킥 +3 / 헤더 +3 / 
수원 삼성 블루윙즈,수원 삼성 블루윙즈 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 태클 +3 / 몸싸움 +3 / 
스타드 랭스,스타드 랭스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 위치 선정 +3 / 
스타드 렌,스타드 렌 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 반응 속도 +3 / 
스타드 브레스트 29,스타드 브레스트 29 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 헤더 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 헤더 +3 / 
스토크 시티,스토크 시티 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 적극성 +2 / 헤더 +1 / ,전체 능력치 +4 / 적극성 +3 / 헤더 +3 / 
스파르타 프라하,스파르타 프라하 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 민첩성 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 민첩성 +3 / 
스페치아,스페치아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 태클 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 태클 +3 / 
스포르팅 CP,스포르팅 CP 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 속력 +2 / 드리블 +1 / ,전체 능력치 +4 / 속력 +3 / 드리블 +3 / 
아르미니아 빌레펠트,아르미니아 빌레펠트 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 스태미너 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 스태미너 +3 / 긴 패스 +3 / 
아스널,아스널 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 민첩성 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 민첩성 +3 / 
아약스,아약스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 드리블 +3 / 짧은 패스 +3 / 
아인트라흐트 프랑크푸르트,아인트라흐트 프랑크푸르트 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 시야 +1 / ,전체 능력치 +4 / 드리블 +3 / 시야 +3 / 
아틀레티코 마드리드,아틀레티코 마드리드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 태클 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 태클 +3 / 반응 속도 +3 / 
아틀레틱 클럽 빌바오,아틀레틱 클럽 빌바오 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 위치 선정 +2 / 헤더 +1 / ,전체 능력치 +4 / 위치 선정 +3 / 헤더 +3 / 
안산 그리너스 FC,안산 그리너스 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 슬라이딩 태클 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 슬라이딩 태클 +3 / 대인 수비 +3 / 
앙제 SCO,앙제 SCO 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 적극성 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 적극성 +3 / 몸싸움 +3 / 
애스턴 빌라,애스턴 빌라 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 볼 컨트롤 +2 / 속력 +1 / ,전체 능력치 +4 / 볼 컨트롤 +3 / 속력 +3 / 
에버턴,에버턴 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 밸런스 +1 / ,전체 능력치 +4 / 크로스 +3 / 밸런스 +3 / 
엘라스 베로나,엘라스 베로나 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 몸싸움 +2 / 침착성 +1 / ,전체 능력치 +4 / 몸싸움 +3 / 침착성 +3 / 
엘체 CF,엘체 CF 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 스태미너 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 스태미너 +3 / 
오사수나,오사수나 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 점프 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 점프 +3 / 긴 패스 +3 / 
올랭피크 리옹,올랭피크 리옹 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 시야 +2 / 민첩성 +1 / ,전체 능력치 +4 / 시야 +3 / 민첩성 +3 / 
올랭피크 마르세유,올랭피크 마르세유 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 적극성 +2 / 몸싸움 +1 / ,전체 능력치 +4 / 적극성 +3 / 몸싸움 +3 / 
올림피아코스 CFP,올림피아코스 CFP 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 크로스 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 크로스 +3 / 
왓퍼드,왓퍼드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 속력 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 속력 +3 / 
우디네세,우디네세 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 위치 선정 +2 / 볼 컨트롤 +1 / ,전체 능력치 +4 / 위치 선정 +3 / 볼 컨트롤 +3 / 
울버햄프턴 원더러스,울버햄프턴 원더러스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 가로채기 +1 / ,전체 능력치 +4 / 가속력 +3 / 가로채기 +3 / 
울산 현대 FC,울산 현대 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 가속력 +3 / 골 결정력 +3 / 
웨스트 브로미치 앨비언,웨스트 브로미치 앨비언 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 크로스 +3 / 대인 수비 +3 / 
웨스트 햄 유나이티드,웨스트 햄 유나이티드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 크로스 +2 / 드리블 +1 / ,전체 능력치 +4 / 크로스 +3 / 드리블 +3 / 
유벤투스,유벤투스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 민첩성 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 민첩성 +3 / 짧은 패스 +3 / 
인천 유나이티드,인천 유나이티드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 몸싸움 +2 / 헤더 +1 / ,전체 능력치 +4 / 몸싸움 +3 / 헤더 +3 / 
인테르,인테르 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 중거리 슛 +3 / 
전남 드래곤즈,전남 드래곤즈 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 속력 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 속력 +3 / 반응 속도 +3 / 
전북 현대 모터스,전북 현대 모터스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 골 결정력 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 골 결정력 +3 / 위치 선정 +3 / 
제노아,제노아 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 적극성 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 적극성 +3 / 
제주 유나이티드,제주 유나이티드 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 볼 컨트롤 +2 / 드리블 +1 / ,전체 능력치 +4 / 볼 컨트롤 +3 / 드리블 +3 / 
첼시,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 볼 컨트롤 +2 / 크로스 +1 / ,전체 능력치 +4 / 볼 컨트롤 +3 / 크로스 +3 / 
충남 아산 축구단,충남 아산 축구단 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 긴 패스 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 긴 패스 +3 / 짧은 패스 +3 / 
충칭 리판,충칭 리판 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 헤더 +2 / 적극성 +1 / ,전체 능력치 +4 / 헤더 +3 / 적극성 +3 / 
카디스 CF,카디스 CF 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 대인 수비 +1 / ,전체 능력치 +4 / 가로채기 +3 / 대인 수비 +3 / 
칼리아리,칼리아리 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 민첩성 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 민첩성 +3 / 
크로토네,크로토네 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 침착성 +2 / 밸런스 +1 / ,전체 능력치 +4 / 침착성 +3 / 밸런스 +3 / 
크리스털 팰리스,크리스털 팰리스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 민첩성 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 민첩성 +3 / 
톈진 테다 FC,톈진 테다 FC 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 밸런스 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 밸런스 +3 / 
토리노,토리노 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 민첩성 +1 / ,전체 능력치 +4 / 드리블 +3 / 민첩성 +3 / 
토트넘 홋스퍼,토트넘 홋스퍼 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 반응 속도 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 반응 속도 +3 / 위치 선정 +3 / 
파르마,파르마 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 짧은 패스 +2 / 긴 패스 +1 / ,전체 능력치 +4 / 짧은 패스 +3 / 긴 패스 +3 / 
파리 생제르맹,파리 생제르맹 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 볼 컨트롤 +1 / ,전체 능력치 +4 / 드리블 +3 / 볼 컨트롤 +3 / 
페예노르트,페예노르트 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 대인 수비 +2 / 중거리 슛 +1 / ,전체 능력치 +4 / 대인 수비 +3 / 중거리 슛 +3 / 
포항 스틸러스,포항 스틸러스 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가로채기 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 가로채기 +3 / 짧은 패스 +3 / 
풀럼,,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 드리블 +2 / 짧은 패스 +1 / ,전체 능력치 +4 / 드리블 +3 / 짧은 패스 +3 / 
피오렌티나,피오렌티나 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 가속력 +2 / 반응 속도 +1 / ,전체 능력치 +4 / 가속력 +3 / 반응 속도 +3 / 
함부르크 SV,함부르크 SV 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 속력 +2 / 골 결정력 +1 / ,전체 능력치 +4 / 속력 +3 / 골 결정력 +3 / 
헤르타 베를린,헤르타 베를린 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 중거리 슛 +2 / 위치 선정 +1 / ,전체 능력치 +4 / 중거리 슛 +3 / 위치 선정 +3 / 
헤타페 CF,헤타페 CF 선수들로 구성된 팀컬러입니다.,3명,8명,10명,11명,전체 능력치 +1 /  /  / ,전체 능력치 +3 /  /  / ,전체 능력치 +3 / 적극성 +2 / 스태미너 +1 / ,전체 능력치 +4 / 적극성 +3 / 스태미너 +3 / 
